lme_number,hemisphere,coast,ocean
1,N,east,pacific
2,N,east,pacific
3,N,east,pacific
4,N,east,pacific
5,N,west,atlantic
6,N,west,atlantic
7,N,west,atlantic
8,N,west,atlantic
9,N,west,atlantic
10,N,NA,pacific
11,N,east,pacific
12,N,west,atlantic
13,S,east,pacific
14,S,west,atlantic
15,S,west,atlantic
16,S,west,atlantic
17,N,west,atlantic
18,NA,NA,arctic
19,NA,NA,arctic
20,NA,NA,arctic
21,NA,NA,arctic
22,N,east,atlantic
23,N,east,atlantic
24,N,east,atlantic
25,N,east,atlantic
26,N,east,atlantic
27,N,east,atlantic
28,N,east,atlantic
29,S,east,atlantic
30,S,west,indian
31,S,west,indian
32,N,west,indian
33,N,west,indian
34,N,east,indian
35,N,west,pacific
36,N,west,pacific
37,N,west,pacific
38,S,west,pacific
39,S,west,pacific
40,S,west,pacific
41,S,west,pacific
42,S,west,pacific
43,S,east,indian
44,S,east,indian
45,S,east,indian
46,S,west,pacific
47,N,west,pacific
48,N,west,pacific
49,N,west,pacific
50,N,west,pacific
51,N,west,pacific
52,N,west,pacific
53,N,west,pacific
54,NA,NA,arctic
55,NA,NA,arctic
56,NA,NA,arctic
57,NA,NA,arctic
58,NA,NA,arctic
59,NA,NA,arctic
60,N,east,atlantic
61,NA,NA,NA
62,N,east,atlantic
63,N,west,atlantic
64,NA,NA,NA
65,N,east,pacific
66,NA,NA,arctic